Word 1,Word 2,Human (mean),std,Mean Repetition 2,Std Repetition 2,Mean Repetition 3,Std Repetition 3
travel,activity,5.0,1.791,5.384615385,2.228170458,4.653846154,1.875106835
treatment,recovery,8.1153846154,0.982,9.0,0.8660254038,7.423076923,1.987944435
type,kind,9.1153846154,0.546,8.115384615,2.799954212,8.269230769,2.047512562
victim,emergency,6.1923076923,1.494,6.576923077,1.977436828,4.807692308,2.618352389
video,archive,6.1923076923,1.494,3.576923077,2.515337567,4.923076923,2.863899977
viewer,serial,2.9615384615,2.385,1.730769231,2.0778132,1.576923077,1.730199336
vodka,brandy,8.1346153846,1.139,6.769230769,1.494648574,6.692307692,2.175033156
vodka,gin,8.4615384615,1.145,6.846153846,2.741537095,7.423076923,1.320450584
volunteer,motto,2.4615384615,2.145,0.6538461538,0.9216067352,1.769230769,1.975004057
war,troops,8.0769230769,0.787,7.615384615,2.022311447,6.615384615,2.526145336
water,seepage,6.2307692308,2.682,5.192307692,2.940652291,5.461538462,2.304538443
weapon,secret,5.8461538462,1.994,1.769230769,2.204308136,1.923076923,2.308012798
weather,forecast,8.4230769231,0.909,7.576923077,2.049859282,8.576923077,1.320450584
Wednesday,news,2.1153846154,1.805,0.8461538462,1.264657651,1.538461538,1.450022104
wood,forest,7.7307692308,1.536,7.269230769,2.204308136,8.115384615,1.634954716
word,similarity,4.1538461538,3.105,3.769230769,2.496792815,2.307692308,2.015961945
